noise_sigma,noise_std,method,coverage,interval_score,mean_uncertainty,rmse,r2,nrmse,best_bandwidth,best_lambda
2.0,0.0,GeoCP,1.0,1.0000000000000002e-06,0.0,0.0,1.0,,0.1,
2.0,0.0,GeoSIMCP,1.0,1.0000000000000002e-06,0.0,0.0,1.0,,0.1,0.0
2.0,0.1,GeoCP,0.9,0.09611264031680823,0.025901073971179765,0.022581915191720134,-1.0014223352963145,0.10283261452409174,1.5,
2.0,0.1,GeoSIMCP,0.935,0.0624899516532522,0.021273138131672822,0.016823747390453912,-0.11086856018615077,0.07661130225515916,0.1,0.0
2.0,0.2,GeoCP,0.9,0.19222528063361638,0.05180214794236081,0.04516383038344118,-1.0014223352963945,0.10283261452409381,1.5,
2.0,0.2,GeoSIMCP,0.935,0.12497990330650437,0.04254627626334567,0.03364749478090785,-0.11086856018615276,0.07661130225515922,0.1,0.0
2.0,0.3,GeoCP,0.9,0.28833792095042465,0.07770322191354076,0.06774574557516144,-1.0014223352963758,0.10283261452409337,1.5,
2.0,0.3,GeoSIMCP,0.935,0.18746985495975668,0.06381941439501848,0.05047124217136175,-0.1108685601861521,0.07661130225515922,0.1,0.0
2.0,0.4,GeoCP,0.9,0.38445056126723287,0.1036042958847218,0.09032766076688248,-1.0014223352964002,0.10283261452409395,1.5,
2.0,0.4,GeoSIMCP,0.935,0.24995980661300887,0.0850925525266913,0.06729498956181565,-0.11086856018615077,0.07661130225515916,0.1,0.0
2.0,0.5,GeoCP,0.9,0.48056320158404103,0.12950536985590155,0.11290957595860263,-1.0014223352963838,0.10283261452409355,1.5,
2.0,0.5,GeoSIMCP,0.935,0.312449758266261,0.10636569065836411,0.08411873695226955,-0.11086856018615099,0.07661130225515916,0.1,0.0
2.0,0.6,GeoCP,0.9,0.5766758419008493,0.15540644382708133,0.13549149115032275,-1.0014223352963723,0.10283261452409326,1.5,
2.0,0.6,GeoSIMCP,0.935,0.37493970991951325,0.12763882879003696,0.10094248434272347,-0.11086856018615143,0.07661130225515919,0.1,0.0
2.0,0.7,GeoCP,0.9,0.6727884822176575,0.18130751779826237,0.15807340634204378,-1.0014223352963865,0.10283261452409363,1.5,
2.0,0.7,GeoSIMCP,0.935,0.4374296615727655,0.1489119669217098,0.1177662317331774,-0.11086856018615165,0.07661130225515919,0.1,0.0
2.0,0.8,GeoCP,0.9,0.7689011225344656,0.20720859176944265,0.18065532153376426,-1.0014223352963851,0.10283261452409356,1.5,
2.0,0.8,GeoSIMCP,0.935,0.49991961322601774,0.17018510505338263,0.13458997912363133,-0.11086856018615143,0.07661130225515918,0.1,0.0
2.0,0.9,GeoCP,0.9,0.8650137628512741,0.23310966574062367,0.20323723672548533,-1.0014223352963953,0.10283261452409385,1.5,
2.0,0.9,GeoSIMCP,0.935,0.5624095648792701,0.19145824318505547,0.15141372651408527,-0.1108685601861521,0.0766113022551592,0.1,0.0
2.0,1.0,GeoCP,0.9,0.9611264031680821,0.25901073971180344,0.22581915191720545,-1.0014223352963878,0.10283261452409363,1.5,
2.0,1.0,GeoSIMCP,0.935,0.6248995165325222,0.2127313813167283,0.16823747390453914,-0.11086856018615165,0.07661130225515918,0.1,0.0
2.0,1.5,GeoCP,0.9,1.4416896047521233,0.388516109567705,0.33872872787580804,-1.001422335296386,0.10283261452409359,1.5,
2.0,1.5,GeoSIMCP,0.935,0.9373492747987834,0.3190970719750924,0.2523562108568087,-0.11086856018615143,0.07661130225515918,0.1,0.0
2.0,2.0,GeoCP,0.9,1.9222528063361641,0.5180214794236065,0.45163830383441067,-1.0014223352963856,0.10283261452409358,1.5,
2.0,2.0,GeoSIMCP,0.935,1.2497990330650446,0.42546276263345656,0.3364749478090783,-0.11086856018615165,0.07661130225515918,0.1,0.0
2.0,3.0,GeoCP,0.9,2.8833792095042465,0.77703221913541,0.6774574557516161,-1.001422335296386,0.10283261452409359,1.5,
2.0,3.0,GeoSIMCP,0.935,1.8746985495975668,0.6381941439501848,0.5047124217136175,-0.11086856018615143,0.07661130225515919,0.1,0.0
2.0,4.0,GeoCP,0.9,3.8445056126723283,1.0360429588472146,0.9032766076688225,-1.001422335296391,0.1028326145240937,1.5,
2.0,4.0,GeoSIMCP,0.935,2.4995980661300883,0.8509255252669131,0.6729498956181565,-0.11086856018615165,0.07661130225515918,0.1,0.0
2.0,5.0,GeoCP,0.9,4.80563201584041,1.2950536985590175,1.1290957595860278,-1.0014223352963891,0.1028326145240937,1.5,
2.0,5.0,GeoSIMCP,0.935,3.124497582662611,1.0636569065836414,0.8411873695226958,-0.11086856018615188,0.0766113022551592,0.1,0.0
2.0,6.0,GeoCP,0.9,5.766758419008492,1.5540644382708209,1.3549149115032333,-1.0014223352963891,0.10283261452409367,1.5,
2.0,6.0,GeoSIMCP,0.935,3.7493970991951335,1.2763882879003696,1.009424843427235,-0.11086856018615143,0.07661130225515919,0.1,0.0
2.0,7.0,GeoCP,0.9,6.727884822176574,1.8130751779826242,1.5807340634204383,-1.0014223352963882,0.10283261452409366,1.5,
2.0,7.0,GeoSIMCP,0.935,4.374296615727655,1.4891196692170978,1.1776623173317742,-0.11086856018615165,0.0766113022551592,0.1,0.0
2.0,8.0,GeoCP,0.9,7.689011225344656,2.072085917694427,1.8065532153376438,-1.0014223352963882,0.10283261452409365,1.5,
2.0,8.0,GeoSIMCP,0.935,4.999196132260177,1.7018510505338262,1.345899791236313,-0.11086856018615165,0.07661130225515918,0.1,0.0
2.0,9.0,GeoCP,0.9,8.650137628512738,2.3310966574062304,2.0323723672548493,-1.0014223352963878,0.10283261452409363,1.5,
2.0,9.0,GeoSIMCP,0.935,5.6240956487927,1.9145824318505544,1.5141372651408525,-0.11086856018615143,0.07661130225515918,0.1,0.0
2.0,15.0,GeoCP,0.9,14.41689604752123,3.885161095677052,3.387287278758083,-1.0014223352963887,0.10283261452409367,1.5,
2.0,15.0,GeoSIMCP,0.935,9.373492747987832,3.1909707197509243,2.5235621085680875,-0.11086856018615165,0.07661130225515919,0.1,0.0
2.0,20.0,GeoCP,0.9,19.222528063361644,5.180214794236069,4.5163830383441095,-1.0014223352963882,0.10283261452409366,1.5,
2.0,20.0,GeoSIMCP,0.9349,12.497990330650444,4.254627626334566,3.364749478090783,-0.11086856018615188,0.0766113022551592,0.1,0.0
